ID,Abundance,Type2
gwc,0.277777777778,acyl-CoA synth
afl,0.416666666667,acyl-CoA synth
nar,0.666666666667,acyl-CoA synth
nit,0.111111111111,acyl-CoA synth
rca,0.5,acyl-CoA synth
stc,0.538461538462,acyl-CoA synth
ppf,0.277777777778,acyl-CoA synth
ppf,0.615384615385,acyl-CoA synth
vpe,0.277777777778,acyl-CoA synth
bte,0.538461538462,acyl-CoA synth
ade,0.666666666667,acyl-CoA synth
vfi,0.416666666667,acyl-CoA synth
jan,0.666666666667,acyl-CoA synth
dra,0.5,acyl-CoA synth
ech,0.230769230769,acyl-CoA synth
mes,0.277777777778,acyl-CoA synth
pat,0.5,acyl-CoA synth
csc,0.333333333333,acyl-CoA synth
ami,0.5,acyl-CoA synth
bay,0.5,acyl-CoA synth
tmt,0.230769230769,acyl-CoA synth
cbk,0.333333333333,acyl-CoA synth
bay,0.5,acyl-CoA synth
eay,0.277777777778,acyl-CoA synth
cse,0.666666666667,acyl-CoA synth
bth,0.5,acyl-CoA synth
bcn,0.222222222222,acyl-CoA synth
eoi,0.333333333333,acyl-CoA synth
cpi,1,acyl-CoA synth
ftu,0.166666666667,acyl-CoA synth
cbo,0.538461538462,acyl-CoA synth
eoi,0.277777777778,acyl-CoA synth
hiq,0.5,acyl-CoA synth
bcy,0.416666666667,acyl-CoA synth
chd,0.333333333333,acyl-CoA synth
bba,0.5,acyl-CoA synth
adn,0.5,acyl-CoA synth
pfs,0.615384615385,acyl-CoA synth
sas,0.666666666667,acyl-CoA synth
bts,0.583333333333,acyl-CoA synth
fba,0.166666666667,acyl-CoA synth
mrb,0.666666666667,acyl-CoA synth
csa,0.222222222222,acyl-CoA synth
lki,0.5,acyl-CoA synth
rty,0.333333333333,acyl-CoA synth
soz,0.5,acyl-CoA synth
cki,0.333333333333,acyl-CoA synth
eba,0.666666666667,acyl-CoA synth
lmc,0.666666666667,acyl-CoA synth
bph,0.583333333333,acyl-CoA synth
chl,0.5,acyl-CoA synth
rah,0.615384615385,acyl-CoA synth
ecw,0.333333333333,acyl-CoA synth
stp,0.666666666667,acyl-CoA synth
caa,0.538461538462,acyl-CoA synth
ica,0.384615384615,acyl-CoA synth
mxa,0.333333333333,acyl-CoA synth
btk,0.666666666667,acyl-CoA synth
cyb,0.5,acyl-CoA synth
bld,0.5,acyl-CoA synth
bha,0.5,acyl-CoA synth
son,0.5,acyl-CoA synth
cpr,0.538461538462,acyl-CoA synth
cpr,0.333333333333,acyl-CoA synth
ckn,0.333333333333,acyl-CoA synth
