ID,Phyla
hac,Proteobacteria
ccr,Spirochaetes
ccr,Proteobacteria
etr,Spirochaetes
etr,Proteobacteria
sfr,Spirochaetes
sfr,Proteobacteria
vvm,Spirochaetes
vvm,Proteobacteria
pla,Spirochaetes
pla,Proteobacteria
ilo,Spirochaetes
ilo,Proteobacteria
mxa,Spirochaetes
mxa,Proteobacteria
eco,Spirochaetes
eco,Proteobacteria
sbc,Spirochaetes
sbc,Proteobacteria
hne,Spirochaetes
hne,Proteobacteria
bci,Spirochaetes
bci,Proteobacteria
rpr,Spirochaetes
rpr,Proteobacteria
rpt,Spirochaetes
rpt,Proteobacteria
swp,Spirochaetes
swp,Proteobacteria
bge,Spirochaetes
bge,Proteobacteria
rpx,Spirochaetes
rpx,Proteobacteria
eoh,Spirochaetes
eoh,Proteobacteria
hna,Spirochaetes
hna,Proteobacteria
bms,Spirochaetes
bms,Proteobacteria
pol,Spirochaetes
pol,Proteobacteria
lpn,Spirochaetes
lpn,Proteobacteria
vch,Spirochaetes
vch,Proteobacteria
acr,Spirochaetes
acr,Proteobacteria
mct,Spirochaetes
mct,Proteobacteria
xne,Spirochaetes
xne,Proteobacteria
pwa,Spirochaetes
pwa,Proteobacteria
pnu,Spirochaetes
pnu,Proteobacteria
ypk,Spirochaetes
ypk,Proteobacteria
vpa,Spirochaetes
vpa,Proteobacteria
wbr,Spirochaetes
wbr,Proteobacteria
rpb,Spirochaetes
rpb,Proteobacteria
mfa,Spirochaetes
mfa,Proteobacteria
atu,Spirochaetes
atu,Proteobacteria
sku,Spirochaetes
sku,Proteobacteria
hiq,Spirochaetes
hiq,Proteobacteria
mlo,Spirochaetes
mlo,Proteobacteria
bpo,Spirochaetes
bpo,Proteobacteria
aex,Spirochaetes
aex,Proteobacteria
bps,Spirochaetes
bps,Proteobacteria
hps,Spirochaetes
hps,Proteobacteria
psa,Spirochaetes
psa,Proteobacteria
psb,Spirochaetes
psb,Proteobacteria
ppu,Spirochaetes
ppu,Proteobacteria
ade,Spirochaetes
ade,Proteobacteria
adn,Spirochaetes
adn,Proteobacteria
bmc,Spirochaetes
bmc,Proteobacteria
nri,Spirochaetes
nri,Proteobacteria
sfl,Spirochaetes
sfl,Proteobacteria
bmf,Spirochaetes
bmf,Proteobacteria
rva,Spirochaetes
rva,Proteobacteria
sbo,Spirochaetes
sbo,Proteobacteria
rco,Spirochaetes
rco,Proteobacteria
